name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Montpelier,Vermont,44.26,-72.576,2025-08-07,74.1,61.2,4.5,0.3,78,7915
Montpelier,Vermont,44.26,-72.576,2025-08-08,77.2,61.9,3.6,0.0,73,7915
Montpelier,Vermont,44.26,-72.576,2025-08-09,83.7,61.5,7.6,0.0,70,7915
Montpelier,Vermont,44.26,-72.576,2025-08-10,84.0,68.2,5.8,0.0,73,7915
Montpelier,Vermont,44.26,-72.576,2025-08-11,82.8,68.7,4.0,0.18,75,7915
Montpelier,Vermont,44.26,-72.576,2025-08-12,89.8,66.7,6.7,0.0,61,7915
Raleigh,North Carolina,35.772,-78.639,2025-08-06,78.8,71.8,7.8,0.0,80,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-07,76.8,67.6,11.0,0.0,88,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-08,75.0,67.8,12.3,0.46,91,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-09,85.5,70.7,8.3,0.0,81,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-10,87.3,69.3,7.6,0.0,75,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-11,76.1,73.0,8.9,0.0,90,499825
Raleigh,North Carolina,35.772,-78.639,2025-08-12,81.1,74.8,11.6,0.19,90,499825
Annapolis,Maryland,38.978,-76.493,2025-08-06,78.6,73.2,14.3,0.0,74,40689
Annapolis,Maryland,38.978,-76.493,2025-08-07,73.2,70.9,14.3,0.0,80,40689
Annapolis,Maryland,38.978,-76.493,2025-08-08,75.9,69.4,12.1,0.0,76,40689
Annapolis,Maryland,38.978,-76.493,2025-08-09,81.3,69.6,8.3,0.0,67,40689
Annapolis,Maryland,38.978,-76.493,2025-08-10,77.0,69.3,8.3,0.0,83,40689
Annapolis,Maryland,38.978,-76.493,2025-08-11,77.5,68.2,9.2,0.0,86,40689
Annapolis,Maryland,38.978,-76.493,2025-08-12,84.0,74.8,8.3,0.02,89,40689
Boston,Massachusetts,42.358,-71.06,2025-08-06,69.4,62.2,7.8,0.0,86,673458
Boston,Massachusetts,42.358,-71.06,2025-08-07,68.5,61.5,7.2,0.0,81,673458
Boston,Massachusetts,42.358,-71.06,2025-08-08,72.1,61.3,11.2,0.0,76,673458
Boston,Massachusetts,42.358,-71.06,2025-08-09,73.2,64.9,10.5,0.0,69,673458
Boston,Massachusetts,42.358,-71.06,2025-08-10,86.5,65.3,9.8,0.0,70,673458
Boston,Massachusetts,42.358,-71.06,2025-08-11,87.6,70.5,7.8,0.17,67,673458
Boston,Massachusetts,42.358,-71.06,2025-08-12,90.0,73.6,8.7,0.0,56,673458
Austin,Texas,30.267,-97.743,2025-08-06,100.2,75.6,12.3,0.0,62,993588
Austin,Texas,30.267,-97.743,2025-08-07,100.8,77.0,13.2,0.0,59,993588
Austin,Texas,30.267,-97.743,2025-08-08,95.4,78.1,15.2,0.0,60,993588
Austin,Texas,30.267,-97.743,2025-08-09,97.0,77.7,17.9,0.0,61,993588
Austin,Texas,30.267,-97.743,2025-08-10,99.7,76.3,13.9,0.0,58,993588
Austin,Texas,30.267,-97.743,2025-08-11,97.5,77.4,12.5,0.0,57,993588
Austin,Texas,30.267,-97.743,2025-08-12,103.8,79.7,14.1,0.0,49,993588
Dover,Delaware,39.158,-75.525,2025-08-06,76.1,70.9,12.1,0.0,82,40191
Dover,Delaware,39.158,-75.525,2025-08-07,72.3,70.3,15.9,0.0,82,40191
Dover,Delaware,39.158,-75.525,2025-08-08,75.2,67.1,13.9,0.0,75,40191
Dover,Delaware,39.158,-75.525,2025-08-09,79.3,66.9,9.6,0.0,73,40191
Dover,Delaware,39.158,-75.525,2025-08-10,77.0,64.0,8.9,0.0,88,40191
Dover,Delaware,39.158,-75.525,2025-08-11,79.7,63.1,8.5,0.0,87,40191
Dover,Delaware,39.158,-75.525,2025-08-12,82.0,71.4,11.2,0.0,90,40191
Richmond,Virginia,37.554,-77.461,2025-08-06,76.6,71.2,8.3,0.0,76,233655
Richmond,Virginia,37.554,-77.461,2025-08-07,67.6,63.7,11.6,8.54,97,233655
Richmond,Virginia,37.554,-77.461,2025-08-08,80.1,69.1,9.6,0.0,79,233655
Richmond,Virginia,37.554,-77.461,2025-08-09,86.2,68.5,6.3,0.0,74,233655
Richmond,Virginia,37.554,-77.461,2025-08-10,86.7,66.2,6.9,0.0,68,233655
Richmond,Virginia,37.554,-77.461,2025-08-11,86.0,63.3,8.3,0.0,76,233655
Richmond,Virginia,37.554,-77.461,2025-08-12,86.4,74.5,7.2,0.1,80,233655
Phoenix,Arizona,33.448,-112.073,2025-08-06,116.6,89.6,13.0,0.0,15,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-07,116.2,89.2,8.9,0.0,13,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-08,111.9,87.4,17.2,0.0,22,1673164
