name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Little Rock,Arkansas,34.746,-92.289,2025-08-03,84.7,68.2,8.7,0.0,59,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-04,87.8,70.7,7.8,0.0,58,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-05,92.7,73.0,8.3,0.0,61,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-06,91.6,73.0,7.8,0.0,65,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-07,94.1,73.4,10.7,0.0,62,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-08,98.6,76.3,11.6,0.0,60,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-09,94.1,79.5,11.4,0.0,57,204774
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-03,85.3,60.3,4.5,0.0,62,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-04,89.2,62.6,6.0,0.0,64,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-05,82.2,67.1,7.4,0.0,69,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-06,72.7,69.1,8.3,0.0,76,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-07,78.6,65.7,8.5,0.0,75,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-08,81.5,62.4,7.8,0.0,71,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-09,84.0,58.8,6.3,0.0,69,50649
Boston,Massachusetts,42.358,-71.06,2025-08-03,83.7,63.9,9.6,0.0,66,673458
Boston,Massachusetts,42.358,-71.06,2025-08-04,87.6,66.9,10.1,0.0,67,673458
Boston,Massachusetts,42.358,-71.06,2025-08-05,73.8,64.9,10.5,0.0,82,673458
Boston,Massachusetts,42.358,-71.06,2025-08-06,69.4,62.2,7.8,0.0,86,673458
Boston,Massachusetts,42.358,-71.06,2025-08-07,68.5,61.5,7.2,0.0,81,673458
Boston,Massachusetts,42.358,-71.06,2025-08-08,72.1,61.3,11.2,0.0,76,673458
Boston,Massachusetts,42.358,-71.06,2025-08-09,73.2,64.9,10.5,0.0,69,673458
Columbus,Ohio,39.961,-82.999,2025-08-03,80.8,57.0,8.1,0.0,71,933263
Columbus,Ohio,39.961,-82.999,2025-08-04,80.8,61.3,5.4,0.0,67,933263
Columbus,Ohio,39.961,-82.999,2025-08-05,78.4,66.0,7.8,0.0,71,933263
Columbus,Ohio,39.961,-82.999,2025-08-06,83.8,61.7,5.6,0.0,73,933263
Columbus,Ohio,39.961,-82.999,2025-08-07,82.6,68.2,6.5,0.0,77,933263
Columbus,Ohio,39.961,-82.999,2025-08-08,87.3,68.0,7.2,0.0,72,933263
Columbus,Ohio,39.961,-82.999,2025-08-09,91.0,69.3,7.6,0.0,69,933263
Santa Fe,New Mexico,35.687,-105.937,2025-08-03,84.0,59.5,14.1,0.0,29,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-04,85.5,54.3,19.2,0.0,39,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-05,86.5,61.0,19.2,0.0,17,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-06,84.7,61.2,20.1,0.0,26,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-07,87.4,61.2,15.2,0.0,29,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-08,86.7,60.1,16.8,0.0,31,90551
Santa Fe,New Mexico,35.687,-105.937,2025-08-09,87.3,63.3,19.7,0.0,22,90551
Phoenix,Arizona,33.448,-112.073,2025-08-03,112.1,82.2,9.8,0.0,10,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-04,113.0,83.1,11.2,0.0,13,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-05,114.4,88.3,11.0,0.0,17,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-06,116.6,89.6,13.0,0.0,15,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-07,116.2,89.2,8.9,0.0,13,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-08,111.9,87.4,17.2,0.0,22,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-09,109.6,86.9,14.5,0.0,26,1673164
West Sacramento,California,38.581,-121.529,2025-08-03,95.2,57.0,15.2,0.0,61,55991
West Sacramento,California,38.581,-121.529,2025-08-04,94.8,56.7,13.0,0.0,60,55991
West Sacramento,California,38.581,-121.529,2025-08-05,92.8,54.3,10.5,0.0,61,55991
West Sacramento,California,38.581,-121.529,2025-08-06,99.3,55.8,12.8,0.0,55,55991
West Sacramento,California,38.581,-121.529,2025-08-07,100.6,60.8,13.2,0.0,50,55991
West Sacramento,California,38.581,-121.529,2025-08-08,106.0,61.5,10.7,0.0,44,55991
West Sacramento,California,38.581,-121.529,2025-08-09,107.6,66.7,14.3,0.0,40,55991
Providence,Rhode Island,41.824,-71.413,2025-08-03,84.7,58.8,9.4,0.0,74,194706
Providence,Rhode Island,41.824,-71.413,2025-08-04,92.1,64.0,10.1,0.0,67,194706
Providence,Rhode Island,41.824,-71.413,2025-08-05,87.4,64.8,8.7,0.0,77,194706
Providence,Rhode Island,41.824,-71.413,2025-08-06,74.7,62.1,7.2,0.0,83,194706
Providence,Rhode Island,41.824,-71.413,2025-08-07,80.4,61.9,6.9,0.0,69,194706
Providence,Rhode Island,41.824,-71.413,2025-08-08,80.2,56.1,10.3,0.0,72,194706
Providence,Rhode Island,41.824,-71.413,2025-08-09,83.5,57.4,8.5,0.0,66,194706
Albany,New York,42.653,-73.757,2025-08-03,85.6,57.9,3.1,0.0,70,101317
Albany,New York,42.653,-73.757,2025-08-04,88.3,63.3,4.7,0.0,68,101317
Albany,New York,42.653,-73.757,2025-08-05,84.2,64.6,4.0,0.0,76,101317
Albany,New York,42.653,-73.757,2025-08-06,81.1,66.6,6.0,0.0,76,101317
Albany,New York,42.653,-73.757,2025-08-07,82.0,65.7,5.8,0.0,66,101317
Albany,New York,42.653,-73.757,2025-08-08,83.3,64.2,6.0,0.0,64,101317
Albany,New York,42.653,-73.757,2025-08-09,85.5,61.7,8.1,0.0,60,101317
Salt Lake City,Utah,40.761,-111.89,2025-08-03,91.2,60.1,11.6,0.0,25,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-04,90.7,64.6,15.0,0.0,18,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-05,91.0,60.1,11.6,0.0,21,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-06,98.4,64.4,12.5,0.0,12,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-07,97.7,66.2,11.9,0.0,18,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-08,80.2,63.7,10.1,0.0,31,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-09,79.2,53.4,11.0,0.0,28,217783
Trenton,New Jersey,40.217,-74.743,2025-08-03,86.4,65.1,8.3,0.0,62,91193
Trenton,New Jersey,40.217,-74.743,2025-08-04,91.2,67.5,7.6,0.0,60,91193
Trenton,New Jersey,40.217,-74.743,2025-08-05,86.7,70.2,11.9,0.0,60,91193
Trenton,New Jersey,40.217,-74.743,2025-08-06,78.4,68.0,8.9,0.0,73,91193
